customer_id,customer_name,age,email,country,postal_code,feedback_rating,sales_amount,visit_date,visit_time,favorite_dish
1,Margarette Klaas,35,mklaas0@privacy.gov.au,China,,2,5639.21,6/1/2021,19,burger
2,Kirstyn Malling,59,kmalling1@state.tx.us,Norway,0315,2,6432.14,3/17/2021,12,burger
3,Keslie Greenlees,30,kgreenlees2@bbb.org,Italy,00163,2,1764.22,6/17/2021,24,burger
4,Glori Jeandel,41,gjeandel3@timesonline.co.uk,China,,5,8274.22,4/27/2021,12,burger
5,Brendis de Marco,67,bde4@shop-pro.jp,Uganda,,4,8729.64,11/20/2020,18,pizza
6,Nikki Kew,74,nkew5@typepad.com,Indonesia,,1,4508.35,11/23/2020,18,burger
7,Lucine Core,44,lcore6@github.com,South Africa,2680,5,3361.64,11/14/2021,5,burger
8,Quincy Harmond,72,qharmond7@vimeo.com,Sweden,268 90,4,8761.8,4/21/2020,24,burger
9,Trevar Schule,76,tschule8@google.de,Brazil,62900-000,3,8441.78,11/25/2020,14,pasta
10,Deva Arkwright,21,darkwright9@gnu.org,Slovenia,4274,4,6624.33,4/5/2020,22,pizza
11,Lorne Whannel,28,lwhannela@etsy.com,Philippines,7203,5,1420.22,10/9/2021,6,pizza
12,Lorianne Cristoforetti,40,lcristoforettib@opensource.org,Nigeria,,2,9101.86,12/21/2021,21,pasta
13,Amelia Haynesford,30,ahaynesfordc@smh.com.au,China,,5,734.62,1/14/2021,21,pasta
14,Diena Curston,42,dcurstond@dailymail.co.uk,Czech Republic,382 76,1,7326.86,6/16/2020,6,pasta
15,Theodora Drage,85,tdragee@deviantart.com,Ukraine,,5,9477.59,1/14/2020,4,pasta
16,Nicolas Jull,51,njullf@studiopress.com,Nepal,,2,3490.02,6/9/2021,4,pizza
17,Kent Gowland,63,kgowlandg@sina.com.cn,Poland,46-250,5,4840.58,8/17/2020,3,pizza
18,Patrice Sanney,84,psanneyh@topsy.com,Sweden,141 05,1,6535.86,4/25/2021,13,pasta
19,Trey Malan,40,tmalani@kickstarter.com,Finland,97701,2,1794.22,9/5/2021,7,pizza
20,Krispin MacIntyre,26,kmacintyrej@yelp.com,Philippines,2101,1,288.77,8/19/2021,2,pizza
21,Catina Fairleigh,25,cfairleighk@google.fr,Indonesia,,2,6631.71,12/10/2020,0,burger
22,Marijn Bartos,44,mbartosl@biglobe.ne.jp,Iceland,650,2,3595.34,6/6/2021,10,pasta
23,Gabi Ginnaly,52,gginnalym@de.vu,Nigeria,,5,8017.69,9/10/2020,6,pasta
24,Buddie Stoppe,58,bstoppen@nymag.com,Greece,,3,2811.51,8/20/2021,18,pasta
25,Alasdair Staries,48,astarieso@dedecms.com,Macedonia,1234,3,162.45,1/11/2021,7,pizza
26,Christa Ricardon,38,cricardonp@scribd.com,China,,3,2068.3,3/10/2021,0,burger
27,Bayard Gobel,57,bgobelq@java.com,Mongolia,,2,4833.31,11/22/2020,6,pasta
28,Claribel Benezeit,42,cbenezeitr@homestead.com,Indonesia,,5,1030.59,10/3/2020,13,pasta
29,Jessalin Shakle,60,jshakles@example.com,Russia,456811,3,3163.91,7/8/2020,18,burger
30,Aeriel Espy,61,aespyt@intel.com,United States,45426,1,8418.53,10/24/2020,16,pasta
31,Kayne Rochewell,21,krochewellu@businessweek.com,China,,3,3380.65,4/15/2020,4,pasta
32,Ly De Dei,41,ldev@cnbc.com,Thailand,86000,3,3868.44,9/24/2021,23,burger
33,Rosa Berthouloume,43,rberthouloumew@sitemeter.com,Indonesia,,4,4342.17,4/5/2020,15,burger
