customer_id,customer_name,age,email,country,profit,feedback_rating,sales_amount,visit_date,visit_time,favorite_dish
1,Marline Meeking,38,mmeeking0@youtu.be,Portugal,8,4,1881.02,9/13/2020,13,pasta
2,Bethena MacMarcuis,33,bmacmarcuis1@histats.com,Dominican Republic,60,1,5403.95,8/26/2020,1,pizza
3,Glenda Sango,21,gsango2@auda.org.au,Poland,81,2,1527.83,11/4/2021,6,pizza
4,Elora Callard,73,ecallard3@salon.com,China,15,1,2822.29,8/27/2021,15,pizza
5,Flossi Harp,48,fharp4@hostgator.com,China,26,4,909.96,11/24/2020,11,burger
6,Carissa Saurat,71,csaurat5@webmd.com,China,48,5,5163.17,9/1/2020,19,pizza
7,Jasen Matelyunas,74,jmatelyunas6@ebay.com,China,70,2,4223.52,4/16/2020,8,pizza
8,Samson Van den Dael,62,svan7@whitehouse.gov,Poland,66,3,3331.73,1/12/2020,13,pizza
9,Dierdre Saxelby,46,dsaxelby8@uol.com.br,China,59,1,2550.27,12/26/2021,7,burger
10,Ahmad Sholem,45,asholem9@cmu.edu,Netherlands,46,1,5301.64,8/5/2020,10,burger
11,Gifford Dunlap,26,gdunlapa@marriott.com,Russia,60,4,8516.97,3/31/2021,12,pizza
12,Adrianne Tizard,55,atizardb@google.nl,Greece,2,3,3758.17,1/13/2020,17,pizza
13,Maje Checklin,38,mchecklinc@marketwatch.com,France,47,4,2154.27,11/29/2021,4,pasta
14,Julita Lintin,46,jlintind@squarespace.com,China,48,1,1412.3,6/17/2020,0,burger
15,Blithe Oldland,37,boldlande@reverbnation.com,Iran,87,2,8272.62,6/30/2020,21,pizza
16,Ofilia MacClancey,73,omacclanceyf@sohu.com,China,24,1,3504.89,1/4/2020,21,burger
17,Heidi Wason,22,hwasong@un.org,Serbia,56,4,3775.58,2/10/2021,13,pizza
18,Audrie Rangle,32,arangleh@4shared.com,China,87,4,8456.89,10/1/2021,19,burger
19,Scotti Padilla,26,spadillai@slate.com,Turkmenistan,30,2,649.54,12/10/2020,8,pizza
20,Ulises Hastings,52,uhastingsj@icio.us,Indonesia,83,2,7292.96,5/23/2021,22,burger
21,Davidde McGiveen,32,dmcgiveenk@elpais.com,Indonesia,100,4,4259.62,7/2/2021,11,pizza
22,Wilona Matej,53,wmatejl@webeden.co.uk,China,83,5,2305.57,12/5/2020,14,pasta
23,Theda Robiou,67,trobioum@google.co.jp,Iran,20,2,5502.95,5/10/2021,15,pizza
24,Beverley Scritch,83,bscritchn@slate.com,Tajikistan,54,1,5051.37,3/19/2020,21,burger
25,Garey Gairdner,72,ggairdnero@oracle.com,Indonesia,13,5,1555.84,11/5/2021,7,pasta
